Team,Tm,Date,Name1,PTS1,Name2,PTS2,Name3,PTS3
Milwaukee Bucks,118,"Thu, Oct 26, 2023",Giannis Antetokounmpo,23,Damian Lillard,39,Brooke Lopez,13
Milwaukee Bucks,110,"Sun, Oct 29, 2023",Giannis Antetokounmpo,26,Damian Lillard,6,Brooke Lopez,13
Milwaukee Bucks,122,"Mon, Oct 30, 2023",Giannis Antetokounmpo,33,Damian Lillard,25,Brooke Lopez,11
Milwaukee Bucks,111,"Wed, Nov 1, 2023",Giannis Antetokounmpo,16,Damian Lillard,15,Brooke Lopez,6
Milwaukee Bucks,110,"Fri, Nov 3, 2023",Giannis Antetokounmpo,22,Damian Lillard,30,Brooke Lopez,13
Milwaukee Bucks,129,"Mon, Nov 6, 2023",Giannis Antetokounmpo,36,Damian Lillard,21,Brooke Lopez,4
Milwaukee Bucks,120,"Wed, Nov 8, 2023",Giannis Antetokounmpo,15,Damian Lillard,34,Brooke Lopez,14
Milwaukee Bucks,124,"Thu, Nov 9, 2023",Giannis Antetokounmpo,54,Damian Lillard,Inac,Brooke Lopez,2
Milwaukee Bucks,97,"Sat, Nov 11, 2023",Giannis Antetokounmpo,35,Damian Lillard,Inac,Brooke Lopez,9
Milwaukee Bucks,118,"Mon, Nov 13, 2023",Giannis Antetokounmpo,35,Damian Lillard,12,Brooke Lopez,11
Milwaukee Bucks,128,"Wed, Nov 15, 2023",Giannis Antetokounmpo,Inac,Damian Lillard,37,Brooke Lopez,10
Milwaukee Bucks,130,"Fri, Nov 17, 2023",Giannis Antetokounmpo,16,Damian Lillard,27,Brooke Lopez,15
Milwaukee Bucks,132,"Sat, Nov 18, 2023",Giannis Antetokounmpo,40,Damian Lillard,27,Brooke Lopez,12
Milwaukee Bucks,142,"Mon, Nov 20, 2023",Giannis Antetokounmpo,42,Damian Lillard,22,Brooke Lopez,16
Milwaukee Bucks,116,"Wed, Nov 22, 2023",Giannis Antetokounmpo,21,Damian Lillard,27,Brooke Lopez,28
Milwaukee Bucks,131,"Fri, Nov 24, 2023",Giannis Antetokounmpo,31,Damian Lillard,31,Brooke Lopez,39
Milwaukee Bucks,108,"Sun, Nov 26, 2023",Giannis Antetokounmpo,33,Damian Lillard,31,Brooke Lopez,10
Milwaukee Bucks,131,"Tue, Nov 28, 2023",Giannis Antetokounmpo,33,Damian Lillard,32,Brooke Lopez,12
Milwaukee Bucks,113,"Thu, Nov 30, 2023",Giannis Antetokounmpo,26,Damian Lillard,18,Brooke Lopez,20
