Team,Tm,Date,Name1,PTS1,Name2,PTS2,Name3,PTS3
Boston Celtics,108,10/25/23,Jaylen Brown,11,Derrick White,12,Jayson Tatum,34
Boston Celtics,119,10/27/23,Jaylen Brown,27,Derrick White,28,Jayson Tatum,22
Boston Celtics,126,10/30/23,Jaylen Brown,36,Derrick White,5,Jayson Tatum,33
Boston Celtics,155,11/1/23,Jaylen Brown,16,Derrick White,18,Jayson Tatum,30
Boston Celtics,124,11/4/23,Jaylen Brown,23,Derrick White,0,Jayson Tatum,32
Boston Celtics,109,11/6/23,Jaylen Brown,26,Derrick White,0,Jayson Tatum,32
Boston Celtics,103,11/8/23,Jaylen Brown,11,Derrick White,19,Jayson Tatum,16
Boston Celtics,121,11/10/23,Jaylen Brown,28,Derrick White,11,Jayson Tatum,23
Boston Celtics,117,11/11/23,Jaylen Brown,29,Derrick White,4,Jayson Tatum,27
Boston Celtics,114,11/13/23,Jaylen Brown,22,Derrick White,3,Jayson Tatum,35
Boston Celtics,117,11/15/23,Jaylen Brown,0,Derrick White,27,Jayson Tatum,29
Boston Celtics,108,11/17/23,Jaylen Brown,23,Derrick White,13,Jayson Tatum,17
Boston Celtics,102,11/19/23,Jaylen Brown,12,Derrick White,10,Jayson Tatum,20
Boston Celtics,118,11/20/23,Jaylen Brown,13,Derrick White,0,Jayson Tatum,45
Boston Celtics,119,11/22/23,Jaylen Brown,26,Derrick White,13,Jayson Tatum,23
Boston Celtics,96,11/24/23,Jaylen Brown,18,Derrick White,16,Jayson Tatum,26
Boston Celtics,113,11/26/23,Jaylen Brown,21,Derrick White,15,Jayson Tatum,34
Boston Celtics,124,11/28/23,Jaylen Brown,30,Derrick White,14,Jayson Tatum,21
Boston Celtics,125,12/1/23,Jaylen Brown,20,Derrick White,21,Jayson Tatum,21
Boston Celtics,112,12/4/23,Jaylen Brown,30,Derrick White,18,Jayson Tatum,32
Boston Celtics,133,12/8/23,Jaylen Brown,17,Derrick White,30,Jayson Tatum,25
Boston Celtics,120,12/12/23,Jaylen Brown,25,Derrick White,17,Jayson Tatum,25
Boston Celtics,116,12/14/23,Jaylen Brown,22,Derrick White,14,Jayson Tatum,27
Boston Celtics,128,12/15/23,Jaylen Brown,18,Derrick White,19,Jayson Tatum,30
Boston Celtics,114,12/17/23,Jaylen Brown,31,Derrick White,10,Jayson Tatum,23
Boston Celtics,126,12/19/23,Jaylen Brown,28,Derrick White,30,Jayson Tatum,15
Boston Celtics,144,12/20/23,Jaylen Brown,28,Derrick White,28,Jayson Tatum,0
Boston Celtics,145,12/23/23,Jaylen Brown,24,Derrick White,18,Jayson Tatum,30
Boston Celtics,126,12/25/23,Jaylen Brown,19,Derrick White,18,Jayson Tatum,25
Boston Celtics,128,12/28/23,Jaylen Brown,0,Derrick White,23,Jayson Tatum,31
Boston Celtics,120,12/29/23,Jaylen Brown,31,Derrick White,21,Jayson Tatum,0
Boston Celtics,134,12/31/23,Jaylen Brown,24,Derrick White,17,Jayson Tatum,25
Boston Celtics,123,1/2/24,Jaylen Brown,15,Derrick White,19,Jayson Tatum,30
Boston Celtics,126,1/5/24,Jaylen Brown,13,Derrick White,10,Jayson Tatum,30
Boston Celtics,118,1/6/24,Jaylen Brown,31,Derrick White,7,Jayson Tatum,38
Boston Celtics,131,1/8/24,Jaylen Brown,40,Derrick White,13,Jayson Tatum,0
Boston Celtics,127,1/10/24,Jaylen Brown,35,Derrick White,9,Jayson Tatum,45
Boston Celtics,102,1/11/24,Jaylen Brown,10,Derrick White,2,Jayson Tatum,7
Boston Celtics,145,1/13/24,Jaylen Brown,32,Derrick White,13,Jayson Tatum,27
Boston Celtics,105,1/15/24,Jaylen Brown,0,Derrick White,22,Jayson Tatum,19
Boston Celtics,117,1/17/24,Jaylen Brown,21,Derrick White,0,Jayson Tatum,24
Boston Celtics,100,1/19/24,Jaylen Brown,13,Derrick White,24,Jayson Tatum,22
Boston Celtics,116,1/21/24,Jaylen Brown,13,Derrick White,21,Jayson Tatum,18
Boston Celtics,119,1/22/24,Jaylen Brown,34,Derrick White,6,Jayson Tatum,39
Boston Celtics,143,1/25/24,Jaylen Brown,18,Derrick White,15,Jayson Tatum,26
Boston Celtics,96,1/27/24,Jaylen Brown,8,Derrick White,2,Jayson Tatum,21
Boston Celtics,118,1/29/24,Jaylen Brown,22,Derrick White,17,Jayson Tatum,28
Boston Celtics,129,1/30/24,Jaylen Brown,25,Derrick White,24,Jayson Tatum,30
Boston Celtics,105,2/1/24,Jaylen Brown,8,Derrick White,9,Jayson Tatum,23
Boston Celtics,131,2/4/24,Jaylen Brown,0,Derrick White,15,Jayson Tatum,34
Boston Celtics,125,2/7/24,Jaylen Brown,15,Derrick White,21,Jayson Tatum,20
Boston Celtics,133,2/9/24,Jaylen Brown,18,Derrick White,4,Jayson Tatum,35
Boston Celtics,110,2/11/24,Jaylen Brown,20,Derrick White,6,Jayson Tatum,26
Boston Celtics,118,2/13/24,Jaylen Brown,19,Derrick White,16,Jayson Tatum,41
Boston Celtics,136,2/14/24,Jaylen Brown,0,Derrick White,27,Jayson Tatum,20
Boston Celtics,129,2/22/24,Jaylen Brown,21,Derrick White,28,Jayson Tatum,25
Boston Celtics,116,2/24/24,Jaylen Brown,30,Derrick White,13,Jayson Tatum,19
Boston Celtics,117,2/27/24,Jaylen Brown,31,Derrick White,6,Jayson Tatum,29
Boston Celtics,138,3/1/24,Jaylen Brown,25,Derrick White,13,Jayson Tatum,32
Boston Celtics,140,3/3/24,Jaylen Brown,29,Derrick White,14,Jayson Tatum,27
Boston Celtics,104,3/5/24,Jaylen Brown,21,Derrick White,3,Jayson Tatum,26
Boston Celtics,109,3/7/24,Jaylen Brown,41,Derrick White,7,Jayson Tatum,15
Boston Celtics,117,3/9/24,Jaylen Brown,27,Derrick White,10,Jayson Tatum,29
Boston Celtics,121,3/11/24,Jaylen Brown,27,Derrick White,11,Jayson Tatum,26
Boston Celtics,123,3/12/24,Jaylen Brown,0,Derrick White,24,Jayson Tatum,38
Boston Celtics,127,3/14/24,Jaylen Brown,37,Derrick White,13,Jayson Tatum,26
Boston Celtics,130,3/17/24,Jaylen Brown,0,Derrick White,0,Jayson Tatum,30
Boston Celtics,119,3/18/24,Jaylen Brown,31,Derrick White,22,Jayson Tatum,0
Boston Celtics,122,3/20/24,Jaylen Brown,21,Derrick White,23,Jayson Tatum,31
Boston Celtics,129,3/22/24,Jaylen Brown,33,Derrick White,19,Jayson Tatum,0
Boston Celtics,124,3/23/24,Jaylen Brown,0,Derrick White,17,Jayson Tatum,26
Boston Celtics,118,3/25/24,Jaylen Brown,24,Derrick White,0,Jayson Tatum,37
Boston Celtics,122,3/28/24,Jaylen Brown,18,Derrick White,22,Jayson Tatum,31
Boston Celtics,104,3/30/24,Jaylen Brown,17,Derrick White,15,Jayson Tatum,23
Boston Celtics,118,4/1/24,Jaylen Brown,0,Derrick White,19,Jayson Tatum,25
Boston Celtics,135,4/3/24,Jaylen Brown,23,Derrick White,8,Jayson Tatum,24
Boston Celtics,101,4/5/24,Jaylen Brown,0,Derrick White,0,Jayson Tatum,17
Boston Celtics,124,4/7/24,Jaylen Brown,26,Derrick White,15,Jayson Tatum,0
Boston Celtics,91,4/9/24,Jaylen Brown,14,Derrick White,9,Jayson Tatum,22
Boston Celtics,109,4/11/24,Jaylen Brown,15,Derrick White,2,Jayson Tatum,18
Boston Celtics,131,4/12/24,Jaylen Brown,0,Derrick White,0,Jayson Tatum,0
Boston Celtics,132,4/14/24,Jaylen Brown,0,Derrick White,0,Jayson Tatum,0
