Team,G,Date,Opp,W/L,TmPts,OppPts,PCT
Bucks,1.0,2022-10-20,PHI,W,90,88,1.0
Bucks,2.0,2022-10-22,HOU,W,125,105,1.0
Bucks,3.0,2022-10-26,BRK,W,110,99,1.0
Bucks,4.0,2022-10-28,NYK,W,119,108,1.0
Bucks,5.0,2022-10-29,ATL,W,123,115,1.0
Bucks,6.0,2022-10-31,DET,W,110,108,1.0
Bucks,7.0,2022-11-02,DET,W,116,91,1.0
Bucks,8.0,2022-11-04,MIN,W,115,102,1.0
Bucks,9.0,2022-11-05,OKC,W,108,94,1.0
Bucks,10.0,2022-11-07,ATL,L,98,117,0.9
Bucks,11.0,2022-11-09,OKC,W,136,132,0.9090909090909091
Bucks,12.0,2022-11-11,SAS,L,93,111,0.8333333333333334
Bucks,13.0,2022-11-14,ATL,L,106,121,0.7692307692307693
Bucks,14.0,2022-11-16,CLE,W,113,98,0.7857142857142857
Bucks,15.0,2022-11-18,PHI,L,102,110,0.7333333333333333
Bucks,16.0,2022-11-21,POR,W,119,111,0.75
Bucks,17.0,2022-11-23,CHI,L,113,118,0.7058823529411765
Bucks,18.0,2022-11-25,CLE,W,117,102,0.7222222222222222
Bucks,19.0,2022-11-27,DAL,W,124,115,0.7368421052631579
Bucks,20.0,2022-11-30,NYK,W,109,103,0.75
Bucks,21.0,2022-12-02,LAL,L,129,133,0.7142857142857143
Bucks,22.0,2022-12-03,CHO,W,105,96,0.7272727272727273
Bucks,23.0,2022-12-05,ORL,W,109,102,0.7391304347826086
Bucks,24.0,2022-12-07,SAC,W,126,113,0.75
Bucks,25.0,2022-12-09,DAL,W,106,105,0.76
Bucks,26.0,2022-12-11,HOU,L,92,97,0.7307692307692307
Bucks,27.0,2022-12-13,GSW,W,128,111,0.7407407407407407
Bucks,28.0,2022-12-15,MEM,L,101,142,0.7142857142857143
Bucks,29.0,2022-12-17,UTA,W,123,97,0.7241379310344828
Bucks,30.0,2022-12-19,NOP,W,128,119,0.7333333333333333
Bucks,31.0,2022-12-21,CLE,L,106,114,0.7096774193548387
Bucks,32.0,2022-12-23,BRK,L,100,118,0.6875
Bucks,33.0,2022-12-25,BOS,L,118,139,0.6666666666666666
Bucks,34.0,2022-12-28,CHI,L,113,119,0.6470588235294118
Bucks,35.0,2022-12-30,MIN,W,123,114,0.6571428571428571
Bucks,36.0,2023-01-01,WAS,L,95,118,0.6388888888888888
Bucks,37.0,2023-01-03,WAS,W,123,113,0.6486486486486487
Bucks,38.0,2023-01-04,TOR,W,104,101,0.6578947368421053
Bucks,39.0,2023-01-06,CHO,L,109,138,0.6410256410256411
Bucks,40.0,2023-01-09,NYK,W,111,107,0.65
Bucks,41.0,2023-01-11,ATL,W,114,105,0.6585365853658537
Bucks,42.0,2023-01-12,MIA,L,102,108,0.6428571428571429
Bucks,43.0,2023-01-14,MIA,L,95,111,0.627906976744186
Bucks,44.0,2023-01-16,IND,W,132,119,0.6363636363636364
Bucks,45.0,2023-01-17,TOR,W,130,122,0.6444444444444445
Bucks,46.0,2023-01-21,CLE,L,102,114,0.6304347826086957
Bucks,47.0,2023-01-23,DET,W,150,130,0.6382978723404256
Bucks,48.0,2023-01-25,DEN,W,107,99,0.6458333333333334
Bucks,49.0,2023-01-27,IND,W,141,131,0.6530612244897959
Bucks,50.0,2023-01-29,NOP,W,135,110,0.66
Bucks,51.0,2023-01-31,CHO,W,124,115,0.6666666666666666
Bucks,52.0,2023-02-02,LAC,W,106,105,0.6730769230769231
Bucks,53.0,2023-02-04,MIA,W,123,115,0.6792452830188679
Bucks,54.0,2023-02-06,POR,W,127,108,0.6851851851851852
Bucks,55.0,2023-02-09,LAL,W,115,106,0.6909090909090909
Bucks,56.0,2023-02-10,LAC,W,119,106,0.6964285714285714
Bucks,57.0,2023-02-14,BOS,W,131,125,0.7017543859649122
Bucks,58.0,2023-02-16,CHI,W,112,100,0.7068965517241379
Bucks,59.0,2023-02-24,MIA,W,128,99,0.711864406779661
Bucks,60.0,2023-02-26,PHO,W,104,101,0.7166666666666667
